year,county,COUNT
2006,39175,2
2007,39001,14
2007,39003,19
2007,39005,18
2007,39007,17
2007,39009,8
2007,39011,9
2007,39013,19
2007,39015,17
2007,39017,74
2007,39019,8
2007,39021,7
2007,39023,45
2007,39025,41
2007,39027,9
2007,39029,18
2007,39031,8
2007,39033,6
2007,39035,159
2007,39037,9
2007,39039,13
2007,39041,23
2007,39043,13
2007,39045,29
2007,39047,10
2007,39049,230
2007,39051,12
2007,39053,8
2007,39055,20
2007,39057,11
2007,39059,11
2007,39061,125
2007,39063,15
2007,39065,2
2007,39067,4
2007,39069,4
2007,39071,6
2007,39073,7
2007,39075,4
2007,39077,18
2007,39079,18
2007,39081,15
2007,39083,12
2007,39085,24
2007,39087,15
2007,39089,28
2007,39091,8
2007,39093,28
2007,39095,78
2007,39097,18
2007,39099,47
2007,39101,16
2007,39103,29
2007,39105,5
2007,39107,5
2007,39109,14
2007,39111,4
2007,39113,101
2007,39115,2
2007,39117,10
2007,39119,15
2007,39121,1
2007,39123,4
2007,39125,1
2007,39127,12
2007,39129,18
2007,39131,11
2007,39133,29
2007,39135,8
2007,39137,4
2007,39139,30
2007,39141,19
2007,39143,12
2007,39145,20
2007,39147,11
2007,39149,11
2007,39151,57
2007,39153,82
2007,39155,36
2007,39157,26
2007,39159,10
2007,39161,7
2007,39163,13
2007,39165,33
2007,39167,13
2007,39169,20
2007,39171,6
2007,39173,23
2007,39175,4
2008,39001,9
2008,39003,16
2008,39005,13
2008,39007,30
2008,39009,14
2008,39011,10
2008,39013,14
2008,39015,13
2008,39017,57
2008,39019,5
2008,39021,6
2008,39023,36
2008,39025,49
2008,39027,16
2008,39029,34
2008,39031,4
2008,39033,6
2008,39035,139
2008,39037,10
2008,39039,10
2008,39041,25
2008,39043,18
2008,39045,20
2008,39047,7
2008,39049,198
2008,39051,17
2008,39053,12
2008,39055,11
2008,39057,29
2008,39059,11
2008,39061,137
2008,39063,17
2008,39065,3
2008,39067,5
2008,39069,6
2008,39071,15
2008,39073,4
2008,39075,6
2008,39077,9
2008,39079,12
2008,39081,16
2008,39083,11
2008,39085,19
2008,39087,20
2008,39089,33
2008,39091,14
2008,39093,37
2008,39095,88
2008,39097,7
2008,39099,51
2008,39101,12
2008,39103,27
2008,39105,8
2008,39107,6
2008,39109,17
2008,39111,2
2008,39113,76
2008,39115,5
2008,39117,15
2008,39119,19
2008,39121,3
2008,39123,10
2008,39125,5
2008,39127,10
2008,39129,6
2008,39131,15
2008,39133,41
2008,39135,8
2008,39139,31
2008,39141,25
2008,39143,11
2008,39145,35
2008,39147,10
2008,39149,8
2008,39151,63
2008,39153,75
2008,39155,45
2008,39157,20
2008,39159,9
2008,39161,8
2008,39163,7
2008,39165,35
2008,39167,15
2008,39169,30
2008,39171,5
2008,39173,23
2008,39175,2
2009,39001,10
2009,39003,23
2009,39005,10
2009,39007,18
2009,39009,10
2009,39011,3
2009,39013,15
2009,39015,8
2009,39017,64
2009,39019,4
2009,39021,8
2009,39023,16
2009,39025,54
2009,39027,18
2009,39029,26
2009,39031,4
2009,39033,3
2009,39035,123
2009,39037,4
2009,39039,6
2009,39041,25
2009,39043,14
2009,39045,24
2009,39047,4
2009,39049,202
2009,39051,7
2009,39053,10
2009,39055,17
2009,39057,36
2009,39059,8
2009,39061,129
2009,39063,19
2009,39065,1
2009,39067,5
2009,39069,1
2009,39071,9
2009,39073,4
2009,39075,3
2009,39077,13
2009,39079,8
2009,39081,12
2009,39083,18
2009,39085,26
2009,39087,19
2009,39089,32
2009,39091,7
2009,39093,34
2009,39095,45
2009,39097,4
2009,39099,42
2009,39101,11
2009,39103,31
2009,39105,5
2009,39107,6
2009,39109,9
2009,39111,1
2009,39113,80
2009,39115,4
2009,39117,5
2009,39119,16
2009,39121,4
2009,39123,5
2009,39125,4
2009,39127,12
2009,39129,13
2009,39131,3
2009,39133,28
2009,39135,10
2009,39137,2
2009,39139,27
2009,39141,37
2009,39143,12
2009,39145,17
2009,39147,7
2009,39149,14
2009,39151,40
2009,39153,81
2009,39155,36
2009,39157,18
2009,39159,6
2009,39161,3
2009,39163,7
2009,39165,36
2009,39167,13
2009,39169,14
2009,39171,12
2009,39173,16
2009,39175,2
2010,39001,13
2010,39003,14
2010,39005,7
2010,39007,22
2010,39009,16
2010,39011,5
2010,39013,15
2010,39015,13
2010,39017,70
2010,39019,4
2010,39021,3
2010,39023,36
2010,39025,62
2010,39027,10
2010,39029,30
2010,39031,2
2010,39033,3
2010,39035,135
2010,39037,4
2010,39039,12
2010,39041,30
2010,39043,8
2010,39045,27
2010,39047,2
2010,39049,248
2010,39051,8
2010,39053,7
2010,39055,13
2010,39057,24
2010,39059,6
2010,39061,133
2010,39063,18
2010,39065,3
2010,39069,5
2010,39071,8
2010,39073,8
2010,39075,8
2010,39077,11
2010,39079,13
2010,39081,13
2010,39083,8
2010,39085,28
2010,39087,13
2010,39089,26
2010,39091,9
2010,39093,43
2010,39095,63
2010,39097,9
2010,39099,43
2010,39101,16
2010,39103,22
2010,39105,6
2010,39107,6
2010,39109,15
2010,39111,4
2010,39113,91
2010,39115,1
2010,39117,6
2010,39119,23
2010,39121,4
2010,39123,4
2010,39125,8
2010,39127,18
2010,39129,15
2010,39131,10
2010,39133,29
2010,39135,7
2010,39137,1
2010,39139,34
2010,39141,27
2010,39143,31
2010,39145,30
2010,39147,10
2010,39149,6
2010,39151,71
2010,39153,87
2010,39155,40
2010,39157,23
2010,39159,8
2010,39163,2
2010,39165,19
2010,39167,12
2010,39169,20
2010,39171,8
2010,39173,23
2010,39175,4
2011,39001,14
2011,39003,16
2011,39005,11
2011,39007,26
2011,39009,14
2011,39011,8
2011,39013,21
2011,39015,23
2011,39017,69
2011,39019,1
2011,39021,5
2011,39023,39
2011,39025,57
2011,39027,12
2011,39029,29
2011,39031,5
2011,39033,6
2011,39035,136
2011,39037,13
2011,39039,13
2011,39041,33
2011,39043,19
2011,39045,18
2011,39047,1
2011,39049,205
2011,39051,4
2011,39053,12
2011,39055,19
2011,39057,33
2011,39059,10
2011,39061,122
2011,39063,8
2011,39065,5
2011,39067,3
2011,39069,3
2011,39071,10
2011,39073,7
2011,39075,8
2011,39077,7
2011,39079,14
2011,39081,16
2011,39083,9
2011,39085,26
2011,39087,17
2011,39089,30
2011,39091,10
2011,39093,34
2011,39095,90
2011,39097,8
2011,39099,49
2011,39101,7
2011,39103,24
2011,39105,8
2011,39107,5
2011,39109,11
2011,39111,6
2011,39113,92
2011,39115,4
2011,39117,4
2011,39119,16
2011,39121,1
2011,39123,9
2011,39125,3
2011,39127,8
2011,39129,9
2011,39131,9
2011,39133,44
2011,39135,7
2011,39137,2
2011,39139,28
2011,39141,25
2011,39143,14
2011,39145,15
2011,39147,6
2011,39149,6
2011,39151,58
2011,39153,85
2011,39155,35
2011,39157,13
2011,39159,10
2011,39161,1
2011,39163,6
2011,39165,37
2011,39167,11
2011,39169,22
2011,39171,6
2011,39173,25
2011,39175,5
2012,39001,14
2012,39003,18
2012,39005,13
2012,39007,32
2012,39009,18
2012,39011,8
2012,39013,15
2012,39015,11
2012,39017,71
2012,39019,7
2012,39021,8
2012,39023,27
2012,39025,49
2012,39027,11
2012,39029,26
2012,39031,3
2012,39033,7
2012,39035,139
2012,39037,7
2012,39039,11
2012,39041,27
2012,39043,12
2012,39045,25
2012,39047,3
2012,39049,246
2012,39051,7
2012,39053,13
2012,39055,8
2012,39057,21
2012,39059,16
2012,39061,146
2012,39063,12
2012,39065,4
2012,39067,4
2012,39069,3
2012,39071,7
2012,39073,4
2012,39075,7
2012,39077,11
2012,39079,11
2012,39081,12
2012,39083,8
2012,39085,21
2012,39087,10
2012,39089,24
2012,39091,11
2012,39093,32
2012,39095,85
2012,39097,4
2012,39099,48
2012,39101,13
2012,39103,28
2012,39105,10
