year,county,COUNT
2003,39001,55
2003,39003,189
2003,39005,69
2003,39007,118
2003,39009,50
2003,39011,67
2003,39013,74
2003,39015,65
2003,39017,464
2003,39019,48
2003,39021,40
2003,39023,153
2003,39025,341
2003,39027,56
2003,39029,110
2003,39031,59
2003,39033,47
2003,39035,1126
2003,39037,64
2003,39039,62
2003,39041,159
2003,39043,120
2003,39045,187
2003,39047,45
2003,39049,1042
2003,39051,46
2003,39053,54
2003,39055,140
2003,39057,199
2003,39059,50
2003,39061,1169
2003,39063,118
2003,39065,39
2003,39067,18
2003,39069,33
2003,39071,64
2003,39073,36
2003,39075,48
2003,39077,73
2003,39079,46
2003,39081,65
2003,39083,97
2003,39085,283
2003,39087,74
2003,39089,190
2003,39091,74
2003,39093,385
2003,39095,634
2003,39097,50
2003,39099,298
2003,39101,106
2003,39103,188
2003,39105,32
2003,39107,56
2003,39109,123
2003,39111,9
2003,39113,501
2003,39115,20
2003,39117,33
2003,39119,165
2003,39121,25
2003,39123,50
2003,39125,24
2003,39127,28
2003,39129,73
2003,39131,32
2003,39133,182
2003,39135,60
2003,39137,40
2003,39139,209
2003,39141,117
2003,39143,83
2003,39145,104
2003,39147,80
2003,39149,98
2003,39151,586
2003,39153,670
2003,39155,245
2003,39157,166
2003,39159,52
2003,39161,37
2003,39163,9
2003,39165,246
2003,39167,98
2003,39169,160
2003,39171,50
2003,39173,151
2003,39175,43
2004,39001,48
2004,39003,195
2004,39005,58
2004,39007,120
2004,39009,60
2004,39011,56
2004,39013,77
2004,39015,65
2004,39017,412
2004,39019,32
2004,39021,42
2004,39023,179
2004,39025,311
2004,39027,75
2004,39029,121
2004,39031,56
2004,39033,39
2004,39035,1080
2004,39037,74
2004,39039,69
2004,39041,170
2004,39043,120
2004,39045,179
2004,39047,33
2004,39049,1058
2004,39051,49
2004,39053,54
2004,39055,135
2004,39057,165
2004,39059,60
2004,39061,1036
2004,39063,110
2004,39065,33
2004,39067,18
2004,39069,33
2004,39071,63
2004,39073,33
2004,39075,34
2004,39077,69
2004,39079,55
2004,39081,73
2004,39083,82
2004,39085,286
2004,39087,63
2004,39089,200
2004,39091,66
2004,39093,327
2004,39095,527
2004,39097,33
2004,39099,291
2004,39101,90
2004,39103,201
2004,39105,31
2004,39107,57
2004,39109,145
2004,39111,11
2004,39113,449
2004,39115,26
2004,39117,45
2004,39119,127
2004,39121,12
2004,39123,47
2004,39125,14
2004,39127,40
2004,39129,80
2004,39131,40
2004,39133,151
2004,39135,47
2004,39137,28
2004,39139,180
2004,39141,121
2004,39143,84
2004,39145,98
2004,39147,63
2004,39149,75
2004,39151,527
2004,39153,606
2004,39155,241
2004,39157,118
2004,39159,51
2004,39161,43
2004,39163,23
2004,39165,247
2004,39167,91
2004,39169,137
2004,39171,38
2004,39173,172
2004,39175,33
2005,39001,37
2005,39003,165
2005,39005,53
2005,39007,117
2005,39009,66
2005,39011,56
2005,39013,107
2005,39015,48
2005,39017,438
2005,39019,31
2005,39021,37
2005,39023,114
2005,39025,269
2005,39027,59
2005,39029,115
2005,39031,34
2005,39033,45
2005,39035,960
2005,39037,48
2005,39039,50
