SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
50,39,1,Ohio,Adams County,10,2007,4,2043,1060,983,1036,955,9,2,4,2,0,3,0,0,11,21,1052,974,1028,948,9,2,4,1,0,3,0,0,11,20,8,9,8,7,0,0,0,1,0,0,0,0,0,1
50,39,1,Ohio,Adams County,10,2007,5,1495,751,744,731,732,5,1,3,2,1,0,0,0,11,9,745,739,725,727,5,1,3,2,1,0,0,0,11,9,6,5,6,5,0,0,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,10,2007,7,1648,802,846,795,831,2,1,2,2,2,0,0,0,1,12,795,842,789,827,2,1,2,2,1,0,0,0,1,12,7,4,6,4,0,0,0,0,1,0,0,0,0,0
50,39,1,Ohio,Adams County,11,2008,4,1965,1000,965,979,937,7,2,3,2,0,3,0,0,11,21,990,954,969,928,7,2,3,1,0,3,0,0,11,20,10,11,10,9,0,0,0,1,0,0,0,0,0,1
50,39,1,Ohio,Adams County,11,2008,5,1522,757,765,735,751,4,1,4,2,1,0,0,0,13,11,750,757,728,743,4,1,4,2,1,0,0,0,13,11,7,8,7,8,0,0,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,11,2008,7,1623,794,829,788,815,2,1,2,1,2,0,0,0,0,12,785,825,780,811,2,1,2,1,1,0,0,0,0,12,9,4,8,4,0,0,0,0,1,0,0,0,0,0
50,39,1,Ohio,Adams County,12,2009,4,1964,992,972,970,943,8,2,3,2,0,3,0,0,11,22,982,962,960,935,8,2,3,1,0,3,0,0,11,21,10,10,10,8,0,0,0,1,0,0,0,0,0,1
50,39,1,Ohio,Adams County,12,2009,5,1527,751,776,728,763,5,1,4,2,1,0,0,0,13,10,744,767,721,754,5,1,4,2,1,0,0,0,13,10,7,9,7,9,0,0,0,0,0,0,0,0,0,0
50,39,1,Ohio,Adams County,12,2009,7,1649,805,844,799,830,2,1,2,1,2,0,0,0,0,12,797,840,792,826,2,1,2,1,1,0,0,0,0,12,8,4,7,4,0,0,0,0,1,0,0,0,0,0
50,39,3,Ohio,Allen County,3,2000,4,8319,4522,3797,3812,3142,598,547,10,6,28,23,1,1,73,78,4436,3724,3738,3080,590,538,8,6,27,23,1,1,72,76,86,73,74,62,8,9,2,0,1,0,0,0,1,2
50,39,3,Ohio,Allen County,3,2000,5,7560,4065,3495,3405,2957,590,458,12,3,23,18,2,1,33,58,3959,3420,3309,2894,583,451,12,3,21,17,1,0,33,55,106,75,96,63,7,7,0,0,2,1,1,1,0,3
