year,county,COUNT
2003,39001,19
2003,39003,28
2003,39005,19
2003,39007,26
2003,39009,19
2003,39011,10
2003,39013,15
2003,39015,17
2003,39017,69
2003,39019,12
2003,39021,17
2003,39023,33
2003,39025,62
2003,39027,19
2003,39029,28
2003,39031,12
2003,39033,8
2003,39035,93
2003,39037,11
2003,39039,15
2003,39041,26
2003,39043,21
2003,39045,36
2003,39047,11
2003,39049,124
2003,39051,11
2003,39053,14
2003,39055,32
2003,39057,34
2003,39059,19
2003,39061,111
2003,39063,11
2003,39065,8
2003,39067,8
2003,39069,4
2003,39071,14
2003,39073,12
2003,39075,11
2003,39077,15
2003,39079,10
2003,39081,11
2003,39083,17
2003,39085,38
2003,39087,26
2003,39089,57
2003,39091,20
2003,39093,45
2003,39095,66
2003,39097,13
2003,39099,39
2003,39101,17
2003,39103,45
2003,39105,6
2003,39107,15
2003,39109,16
2003,39111,3
2003,39113,68
2003,39115,4
2003,39117,9
2003,39119,35
2003,39121,6
2003,39123,18
2003,39125,4
2003,39127,17
2003,39129,20
2003,39131,11
2003,39133,29
2003,39135,14
2003,39137,7
2003,39139,42
2003,39141,28
2003,39143,18
2003,39145,21
2003,39147,22
2003,39149,13
2003,39151,79
2003,39153,70
2003,39155,33
2003,39157,31
2003,39159,12
2003,39161,8
2003,39163,4
2003,39165,44
2003,39167,23
2003,39169,48
2003,39171,13
2003,39173,18
2003,39175,3
2004,39001,19
2004,39003,24
2004,39005,9
2004,39007,25
2004,39009,12
2004,39011,10
2004,39013,19
2004,39015,31
2004,39017,52
2004,39019,15
2004,39021,11
2004,39023,31
2004,39025,64
2004,39027,14
2004,39029,26
2004,39031,10
2004,39033,8
2004,39035,105
2004,39037,17
2004,39039,11
2004,39041,28
2004,39043,17
2004,39045,42
2004,39047,6
2004,39049,98
2004,39051,16
2004,39053,25
2004,39055,30
2004,39057,18
2004,39059,19
2004,39061,102
2004,39063,15
2004,39065,9
2004,39067,6
2004,39069,10
2004,39071,15
2004,39073,11
2004,39075,9
2004,39077,17
2004,39079,21
2004,39081,19
2004,39083,29
2004,39085,22
2004,39087,24
2004,39089,56
2004,39091,15
2004,39093,41
2004,39095,51
2004,39097,11
2004,39099,27
2004,39101,17
2004,39103,30
2004,39105,9
2004,39107,12
2004,39109,26
2004,39111,3
2004,39113,60
2004,39115,4
2004,39117,11
2004,39119,20
2004,39121,8
2004,39123,14
2004,39125,5
2004,39127,13
2004,39129,17
2004,39131,8
2004,39133,24
2004,39135,18
2004,39137,7
2004,39139,30
2004,39141,36
2004,39143,24
2004,39145,33
2004,39147,18
2004,39149,19
2004,39151,85
2004,39153,65
2004,39155,30
2004,39157,32
2004,39159,15
2004,39161,7
2004,39163,8
2004,39165,35
2004,39167,20
2004,39169,42
2004,39171,11
2004,39173,42
2004,39175,11
2005,39001,11
2005,39003,31
2005,39005,17
2005,39007,28
2005,39009,11
2005,39011,11
2005,39013,19
2005,39015,18
2005,39017,67
2005,39019,12
2005,39021,9
2005,39023,32
2005,39025,48
2005,39027,15
2005,39029,28
2005,39031,9
2005,39033,7
2005,39035,73
2005,39037,8
2005,39039,13
2005,39041,26
2005,39043,14
2005,39045,29
2005,39047,14
2005,39049,94
2005,39051,12
2005,39053,10
2005,39055,28
2005,39057,35
2005,39059,8
2005,39061,83
2005,39063,19
2005,39065,8
2005,39067,5
2005,39069,7
2005,39071,13
2005,39073,10
2005,39075,12
2005,39077,17
2005,39079,21
2005,39081,20
2005,39083,20
2005,39085,23
2005,39087,27
2005,39089,46
2005,39091,11
2005,39093,48
2005,39095,59
2005,39097,15
2005,39099,38
2005,39101,24
2005,39103,27
2005,39105,7
