SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,year,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,39,161,Ohio,Van Wert County,7,2014,5,1696,839,857,795,817,18,4,2,3,5,7,0,0,19,26,813,842,32,23,6,10,8,11,0,0,814,824,775,790,17,4,0,3,5,7,0,0,17,20,791,809,29,20,4,8,8,9,0,0,25,33,20,27,1,0,2,0,0,0,0,0,2,6,22,33,3,3,2,2,0,2,0,0
50,39,161,Ohio,Van Wert County,7,2014,7,1652,820,832,797,819,11,3,0,0,2,4,0,0,10,6,806,825,14,7,3,1,5,5,2,0,789,800,769,790,11,3,0,0,1,4,0,0,8,3,777,793,14,5,2,0,3,5,1,0,31,32,28,29,0,0,0,0,1,0,0,0,2,3,29,32,0,2,1,1,2,0,1,0
50,39,161,Ohio,Van Wert County,8,2015,4,1860,955,905,899,858,29,13,2,4,2,4,0,0,23,26,921,883,49,30,6,9,5,6,0,3,911,861,860,819,27,13,1,2,2,4,0,0,21,23,880,841,45,30,4,5,5,6,0,2,44,44,39,39,2,0,1,2,0,0,0,0,2,3,41,42,4,0,2,4,0,0,0,1
50,39,161,Ohio,Van Wert County,8,2015,5,1769,882,887,838,850,18,6,0,1,5,7,0,0,21,23,858,872,33,21,6,5,7,11,0,1,844,846,805,814,17,4,0,0,5,7,0,0,17,21,822,834,29,18,3,4,7,10,0,1,38,41,33,36,1,2,0,1,0,0,0,0,4,2,36,38,4,3,3,1,0,1,0,0
50,39,161,Ohio,Van Wert County,8,2015,7,1632,840,792,818,779,11,5,1,0,0,3,0,0,10,5,826,784,15,9,6,1,3,3,1,0,801,756,781,746,11,5,1,0,0,2,0,0,8,3,787,749,14,8,5,0,3,2,1,0,39,36,37,33,0,0,0,0,0,1,0,0,2,2,39,35,1,1,1,1,0,1,0,0
50,39,161,Ohio,Van Wert County,9,2016,4,1830,943,887,884,843,30,11,2,4,3,4,0,0,24,25,907,865,46,31,7,9,7,8,1,0,899,836,849,798,27,11,1,2,3,4,0,0,19,21,867,816,41,29,3,5,7,8,1,0,44,51,35,45,3,0,1,2,0,0,0,0,5,4,40,49,5,2,4,4,0,0,0,0
50,39,161,Ohio,Van Wert County,9,2016,5,1666,855,811,815,773,15,8,1,2,3,5,0,0,21,23,835,795,30,23,6,7,5,8,0,1,812,773,778,741,13,6,1,0,3,5,0,0,17,21,794,761,26,20,4,4,5,8,0,1,43,38,37,32,2,2,0,2,0,0,0,0,4,2,41,34,4,3,2,3,0,0,0,0
50,39,161,Ohio,Van Wert County,9,2016,7,1575,791,784,776,770,7,5,1,0,0,4,0,0,7,5,783,774,10,6,3,3,2,6,0,0,751,750,736,738,7,5,1,0,0,3,0,0,7,4,743,741,10,6,3,2,2,5,0,0,40,34,40,32,0,0,0,0,0,1,0,0,0,1,40,33,0,0,0,1,0,1,0,0
50,39,161,Ohio,Van Wert County,10,2017,4,1821,913,908,868,866,21,15,2,3,2,3,0,0,20,21,888,887,37,29,5,6,4,6,0,1,875,855,839,816,19,15,1,2,2,3,0,0,14,19,853,835,32,29,2,4,3,5,0,1,38,53,29,50,2,0,1,1,0,0,0,0,6,2,35,52,5,0,3,2,1,1,0,0
50,39,161,Ohio,Van Wert County,10,2017,5,1628,851,777,802,740,17,11,2,2,4,5,0,0,26,19,827,758,34,24,7,5,9,7,0,2,803,747,763,714,14,10,1,0,4,5,0,0,21,18,783,731,28,22,5,3,8,7,0,2,48,30,39,26,3,1,1,2,0,0,0,0,5,1,44,27,6,2,2,2,1,0,0,0
