year,county,COUNT
2003,39001,43
2003,39003,180
2003,39005,64
2003,39007,109
2003,39009,68
2003,39011,75
2003,39013,88
2003,39015,51
2003,39017,403
2003,39019,37
2003,39021,51
2003,39023,123
2003,39025,235
2003,39027,47
2003,39029,97
2003,39031,68
2003,39033,55
2003,39035,837
2003,39037,69
2003,39039,76
2003,39041,134
2003,39043,122
2003,39045,168
2003,39047,40
2003,39049,796
2003,39051,53
2003,39053,51
2003,39055,124
2003,39057,145
2003,39059,53
2003,39061,921
2003,39063,92
2003,39065,31
2003,39067,12
2003,39069,44
2003,39071,61
2003,39073,43
2003,39075,37
2003,39077,84
2003,39079,46
2003,39081,73
2003,39083,73
2003,39085,267
2003,39087,86
2003,39089,218
2003,39091,64
2003,39093,281
2003,39095,428
2003,39097,40
2003,39099,240
2003,39101,98
2003,39103,171
2003,39105,26
2003,39107,63
2003,39109,119
2003,39111,15
2003,39113,397
2003,39115,16
2003,39117,36
2003,39119,136
2003,39121,9
2003,39123,47
2003,39125,21
2003,39127,37
2003,39129,80
2003,39131,30
2003,39133,132
2003,39135,50
2003,39137,48
2003,39139,153
2003,39141,126
2003,39143,89
2003,39145,93
2003,39147,85
2003,39149,66
2003,39151,453
2003,39153,465
2003,39155,198
2003,39157,116
2003,39159,54
2003,39161,42
2003,39163,18
2003,39165,235
2003,39167,96
2003,39169,132
2003,39171,68
2003,39173,116
2003,39175,31
2004,39001,39
2004,39003,182
2004,39005,44
2004,39007,86
2004,39009,67
2004,39011,64
2004,39013,79
2004,39015,56
2004,39017,329
2004,39019,33
2004,39021,31
2004,39023,117
2004,39025,248
2004,39027,43
2004,39029,103
2004,39031,40
2004,39033,40
2004,39035,767
2004,39037,64
2004,39039,67
2004,39041,135
2004,39043,94
2004,39045,178
2004,39047,42
2004,39049,826
2004,39051,47
2004,39053,53
2004,39055,126
2004,39057,145
2004,39059,55
2004,39061,901
2004,39063,118
2004,39065,30
2004,39067,6
2004,39069,37
2004,39071,66
2004,39073,31
2004,39075,44
2004,39077,70
2004,39079,56
2004,39081,78
2004,39083,84
2004,39085,248
2004,39087,75
2004,39089,224
2004,39091,61
2004,39093,262
2004,39095,415
2004,39097,32
2004,39099,231
2004,39101,70
2004,39103,160
2004,39105,15
2004,39107,59
2004,39109,131
2004,39111,17
2004,39113,365
2004,39115,13
2004,39117,31
2004,39119,143
2004,39121,12
2004,39123,37
2004,39125,23
2004,39127,27
2004,39129,75
2004,39131,34
2004,39133,113
2004,39135,60
2004,39137,45
2004,39139,149
2004,39141,126
2004,39143,84
2004,39145,99
2004,39147,62
2004,39149,68
2004,39151,431
2004,39153,474
2004,39155,158
2004,39157,101
2004,39159,59
2004,39161,36
2004,39163,13
2004,39165,219
2004,39167,90
2004,39169,102
2004,39171,43
2004,39173,120
2004,39175,34
2005,39001,33
2005,39003,135
2005,39005,55
2005,39007,90
2005,39009,48
2005,39011,55
2005,39013,80
2005,39015,50
2005,39017,358
2005,39019,26
2005,39021,31
2005,39023,117
2005,39025,218
2005,39027,28
2005,39029,81
2005,39031,40
2005,39033,44
2005,39035,685
2005,39037,54
2005,39039,51
2005,39041,141
2005,39043,100
2005,39045,167
2005,39047,33
2005,39049,726
2005,39051,41
2005,39053,48
2005,39055,108
2005,39057,123
2005,39059,48
2005,39061,768
2005,39063,80
2005,39065,28
2005,39067,16
2005,39069,21
2005,39071,40
2005,39073,24
2005,39075,42
2005,39077,61
2005,39079,46
2005,39081,63
2005,39083,84
2005,39085,198
2005,39087,66
2005,39089,185
2005,39091,59
2005,39093,227
2005,39095,378
2005,39097,49
2005,39099,181
2005,39101,89
2005,39103,138
2005,39105,19
2005,39107,63
2005,39109,89
2005,39111,7
2005,39113,334
2005,39115,14
2005,39117,47
2005,39119,124
2005,39121,13
2005,39123,54
2005,39125,21
2005,39127,30
2005,39129,63
2005,39131,29
2005,39133,126
2005,39135,52
2005,39137,41
2005,39139,152
2005,39141,118
2005,39143,72
2005,39145,80
2005,39147,57
2005,39149,58
2005,39151,386
2005,39153,385
2005,39155,167
2005,39157,139
2005,39159,41
2005,39161,43
2005,39163,22
2005,39165,244
2005,39167,60
2005,39169,117
2005,39171,34
2005,39173,117
2005,39175,28
2006,39001,34
2006,39003,137
2006,39005,61
2006,39007,78
2006,39009,54
2006,39011,50
2006,39013,64
2006,39015,50
2006,39017,315
2006,39019,22
2006,39021,38
2006,39023,85
2006,39025,232
2006,39027,35
2006,39029,87
2006,39031,39
2006,39033,35
2006,39035,683
2006,39037,41
2006,39039,37
2006,39041,135
2006,39043,75
2006,39045,125
2006,39047,29
2006,39049,654
2006,39051,32
2006,39053,50
2006,39055,80
2006,39057,117
2006,39059,51
2006,39061,802
2006,39063,95
2006,39065,27
2006,39067,16
2006,39069,26
2006,39071,48
2006,39073,25
2006,39075,49
2006,39077,51
2006,39079,44
2006,39081,58
2006,39083,68
2006,39085,195
2006,39087,71
2006,39089,159
2006,39091,49
2006,39093,216
2006,39095,341
2006,39097,45
2006,39099,198
2006,39101,73
2006,39103,130
2006,39105,14
2006,39107,53
2006,39109,88
2006,39111,10
2006,39113,303
