year,county,COUNT
2003,39001,39
2003,39003,82
2003,39005,53
2003,39007,80
2003,39009,65
2003,39011,41
2003,39013,63
2003,39015,59
2003,39017,264
2003,39019,23
2003,39021,34
2003,39023,121
2003,39025,157
2003,39027,50
2003,39029,83
2003,39031,23
2003,39033,17
2003,39035,491
2003,39037,36
2003,39039,27
2003,39041,74
2003,39043,64
2003,39045,85
2003,39047,19
2003,39049,695
2003,39051,38
2003,39053,51
2003,39055,56
2003,39057,132
2003,39059,36
2003,39061,508
2003,39063,55
2003,39065,20
2003,39067,8
2003,39069,20
2003,39071,28
2003,39073,27
2003,39075,26
2003,39077,65
2003,39079,53
2003,39081,48
2003,39083,52
2003,39085,98
2003,39087,52
2003,39089,111
2003,39091,24
2003,39093,150
2003,39095,247
2003,39097,24
2003,39099,143
2003,39101,33
2003,39103,91
2003,39105,24
2003,39107,31
2003,39109,53
2003,39111,13
2003,39113,335
2003,39115,4
2003,39117,29
2003,39119,61
2003,39121,6
2003,39123,36
2003,39125,17
2003,39127,35
2003,39129,43
2003,39131,20
2003,39133,136
2003,39135,35
2003,39137,18
2003,39139,107
2003,39141,70
2003,39143,66
2003,39145,93
2003,39147,50
2003,39149,33
2003,39151,248
2003,39153,285
2003,39155,112
2003,39157,68
2003,39159,33
2003,39161,17
2003,39163,26
2003,39165,94
2003,39167,34
2003,39169,97
2003,39171,21
2003,39173,104
2003,39175,20
2004,39001,35
2004,39003,67
2004,39005,51
2004,39007,72
2004,39009,54
2004,39011,31
2004,39013,38
2004,39015,58
2004,39017,217
2004,39019,21
2004,39021,35
2004,39023,114
2004,39025,183
2004,39027,42
2004,39029,81
2004,39031,21
2004,39033,22
2004,39035,434
2004,39037,34
2004,39039,36
2004,39041,76
2004,39043,37
2004,39045,110
2004,39047,27
2004,39049,654
2004,39051,39
2004,39053,39
2004,39055,61
2004,39057,127
2004,39059,42
2004,39061,506
2004,39063,58
2004,39065,28
2004,39067,9
2004,39069,16
2004,39071,27
2004,39073,41
2004,39075,27
2004,39077,40
2004,39079,44
2004,39081,39
2004,39083,45
2004,39085,88
2004,39087,68
2004,39089,126
2004,39091,31
2004,39093,135
2004,39095,263
2004,39097,29
2004,39099,152
2004,39101,52
2004,39103,82
2004,39105,29
2004,39107,19
2004,39109,59
2004,39111,7
2004,39113,314
2004,39115,9
2004,39117,27
2004,39119,59
2004,39121,11
2004,39123,31
2004,39125,13
2004,39127,32
2004,39129,46
2004,39131,42
2004,39133,142
2004,39135,43
2004,39137,17
2004,39139,119
2004,39141,50
2004,39143,51
2004,39145,77
2004,39147,54
2004,39149,29
2004,39151,281
2004,39153,286
2004,39155,110
2004,39157,85
2004,39159,30
2004,39161,13
2004,39163,19
2004,39165,114
2004,39167,38
2004,39169,92
2004,39171,33
2004,39173,95
2004,39175,19
2005,39001,36
2005,39003,64
2005,39005,38
2005,39007,76
2005,39009,35
2005,39011,33
2005,39013,46
2005,39015,48
2005,39017,229
2005,39019,19
2005,39021,39
2005,39023,111
2005,39025,162
2005,39027,55
2005,39029,92
2005,39031,22
2005,39033,13
