year,county,COUNT
2003,39001,98
2003,39003,369
2003,39005,133
2003,39007,227
2003,39009,118
2003,39011,142
2003,39013,162
2003,39015,116
2003,39017,867
2003,39019,85
2003,39021,91
2003,39023,276
2003,39025,576
2003,39027,103
2003,39029,207
2003,39031,127
2003,39033,102
2003,39035,1963
2003,39037,133
2003,39039,138
2003,39041,293
2003,39043,242
2003,39045,355
2003,39047,85
2003,39049,1838
2003,39051,99
2003,39053,105
2003,39055,264
2003,39057,344
2003,39059,103
2003,39061,2090
2003,39063,210
2003,39065,70
2003,39067,30
2003,39069,77
2003,39071,125
2003,39073,79
2003,39075,85
2003,39077,157
2003,39079,92
2003,39081,138
2003,39083,170
2003,39085,550
2003,39087,160
2003,39089,408
2003,39091,138
2003,39093,666
2003,39095,1062
2003,39097,90
2003,39099,538
2003,39101,204
2003,39103,359
2003,39105,58
2003,39107,119
2003,39109,242
2003,39111,24
2003,39113,898
2003,39115,36
2003,39117,69
2003,39119,301
2003,39121,34
2003,39123,97
2003,39125,45
2003,39127,65
2003,39129,153
2003,39131,62
2003,39133,314
2003,39135,110
2003,39137,88
2003,39139,362
2003,39141,243
2003,39143,172
2003,39145,197
2003,39147,165
2003,39149,164
2003,39151,1039
2003,39153,1135
2003,39155,443
2003,39157,282
2003,39159,106
2003,39161,79
2003,39163,27
2003,39165,481
2003,39167,194
2003,39169,292
2003,39171,118
2003,39173,267
2003,39175,74
2004,39001,87
2004,39003,377
2004,39005,102
2004,39007,206
2004,39009,127
2004,39011,120
2004,39013,156
2004,39015,121
2004,39017,741
2004,39019,65
2004,39021,73
2004,39023,296
2004,39025,559
2004,39027,118
2004,39029,224
2004,39031,96
2004,39033,79
2004,39035,1847
2004,39037,138
2004,39039,136
2004,39041,305
2004,39043,214
2004,39045,357
2004,39047,75
2004,39049,1884
2004,39051,96
2004,39053,107
2004,39055,261
2004,39057,310
2004,39059,115
2004,39061,1937
2004,39063,228
2004,39065,63
2004,39067,24
2004,39069,70
2004,39071,129
2004,39073,64
2004,39075,78
2004,39077,139
2004,39079,111
2004,39081,151
2004,39083,166
2004,39085,534
2004,39087,138
2004,39089,424
2004,39091,127
2004,39093,589
2004,39095,942
2004,39097,65
2004,39099,522
2004,39101,160
2004,39103,361
2004,39105,46
2004,39107,116
2004,39109,276
2004,39111,28
2004,39113,814
2004,39115,39
2004,39117,76
2004,39119,270
2004,39121,24
2004,39123,84
2004,39125,37
2004,39127,67
2004,39129,155
2004,39131,74
2004,39133,264
2004,39135,107
2004,39137,73
2004,39139,329
2004,39141,247
2004,39143,168
2004,39145,197
2004,39147,125
2004,39149,143
2004,39151,958
2004,39153,1080
2004,39155,399
2004,39157,219
2004,39159,110
2004,39161,79
2004,39163,36
2004,39165,466
2004,39167,181
2004,39169,239
2004,39171,81
2004,39173,292
2004,39175,67
2005,39001,70
2005,39003,300
2005,39005,108
2005,39007,207
2005,39009,114
2005,39011,111
2005,39013,187
2005,39015,98
2005,39017,796
2005,39019,57
2005,39021,68
2005,39023,231
2005,39025,487
2005,39027,87
2005,39029,196
2005,39031,74
2005,39033,89
2005,39035,1645
2005,39037,102
2005,39039,101
2005,39041,288
2005,39043,190
2005,39045,301
2005,39047,77
2005,39049,1647
2005,39051,87
2005,39053,78
2005,39055,231
2005,39057,288
2005,39059,86
2005,39061,1845
2005,39063,199
2005,39065,63
2005,39067,23
2005,39069,59
2005,39071,94
2005,39073,55
2005,39075,66
2005,39077,124
2005,39079,95
2005,39081,148
2005,39083,160
2005,39085,466
2005,39087,146
2005,39089,404
2005,39091,133
2005,39093,533
2005,39095,856
2005,39097,91
2005,39099,466
2005,39101,173
2005,39103,301
2005,39105,34
2005,39107,117
2005,39109,226
2005,39111,15
2005,39113,770
2005,39115,26
2005,39117,82
2005,39119,237
2005,39121,23
2005,39123,107
2005,39125,36
2005,39127,56
2005,39129,138
2005,39131,63
2005,39133,264
2005,39135,105
2005,39137,69
2005,39139,325
2005,39141,219
2005,39143,138
2005,39145,177
2005,39147,113
2005,39149,127
2005,39151,847
2005,39153,948
2005,39155,399
2005,39157,267
2005,39159,105
2005,39161,79
2005,39163,33
2005,39165,504
2005,39167,128
2005,39169,259
2005,39171,70
2005,39173,255
2005,39175,57
2006,39001,65
2006,39003,277
2006,39005,124
2006,39007,169
2006,39009,120
2006,39011,99
2006,39013,126
2006,39015,103
2006,39017,687
2006,39019,58
2006,39021,84
2006,39023,221
2006,39025,504
2006,39027,84
2006,39029,167
2006,39031,81
2006,39033,74
2006,39035,1639
2006,39037,107
2006,39039,86
2006,39041,294
2006,39043,166
2006,39045,305
2006,39047,60
2006,39049,1656
2006,39051,73
2006,39053,86
2006,39055,176
2006,39057,266
2006,39059,88
2006,39061,1789
2006,39063,197
2006,39065,46
2006,39067,28
2006,39069,50
2006,39071,108
2006,39073,62
2006,39075,81
2006,39077,119
2006,39079,84
2006,39081,137
2006,39083,149
2006,39085,458
2006,39087,130
2006,39089,323
2006,39091,111
2006,39093,503
2006,39095,853
2006,39097,81
2006,39099,447
2006,39101,159
2006,39103,307
2006,39105,35
2006,39107,99
2006,39109,209
2006,39111,17
2006,39113,689
2006,39115,26
2006,39117,57
2006,39119,257
2006,39121,22
2006,39123,63
2006,39125,29
2006,39127,57
2006,39129,129
2006,39131,72
2006,39133,274
2006,39135,95
2006,39137,80
2006,39139,295
2006,39141,189
2006,39143,162
2006,39145,163
2006,39147,135
2006,39149,95
2006,39151,743
2006,39153,891
2006,39155,353
2006,39157,212
2006,39159,85
2006,39161,66
2006,39163,32
2006,39165,476
2006,39167,132
2006,39169,214
2006,39171,65
2006,39173,256
2006,39175,51
2007,39001,63
2007,39003,299
2007,39005,93
2007,39007,147
2007,39009,117
2007,39011,97
2007,39013,126
2007,39015,85
2007,39017,581
2007,39019,61
2007,39021,80
2007,39023,176
2007,39025,418
2007,39027,72
2007,39029,175
2007,39031,77
2007,39033,79
2007,39035,1544
2007,39037,98
2007,39039,73
2007,39041,263
2007,39043,151
2007,39045,260
2007,39047,66
2007,39049,1461
2007,39051,80
2007,39053,77
2007,39055,210
2007,39057,221
2007,39059,82
2007,39061,1522
2007,39063,155
2007,39065,49
2007,39067,28
2007,39069,36
2007,39071,93
2007,39073,55
2007,39075,78
2007,39077,112
2007,39079,73
2007,39081,130
2007,39083,122
2007,39085,438
2007,39087,122
2007,39089,282
2007,39091,101
2007,39093,503
2007,39095,692
2007,39097,59
2007,39099,402
2007,39101,151
2007,39103,322
2007,39105,37
2007,39107,88
2007,39109,191
2007,39111,25
2007,39113,614
2007,39115,21
2007,39117,64
2007,39119,227
2007,39121,20
2007,39123,64
2007,39125,28
2007,39127,45
2007,39129,108
2007,39131,50
2007,39133,259
2007,39135,59
2007,39137,66
2007,39139,246
2007,39141,174
2007,39143,118
2007,39145,133
2007,39147,107
2007,39149,115
2007,39151,728
2007,39153,884
2007,39155,279
2007,39157,207
2007,39159,72
2007,39161,81
2007,39163,23
2007,39165,378
2007,39167,120
2007,39169,195
2007,39171,88
2007,39173,227
2007,39175,34
2008,39001,49
2008,39003,228
2008,39005,88
2008,39007,131
2008,39009,81
2008,39011,86
2008,39013,128
2008,39015,62
2008,39017,616
2008,39019,41
2008,39021,64
2008,39023,155
2008,39025,437
2008,39027,58
2008,39029,140
2008,39031,33
2008,39033,65
2008,39035,1482
2008,39037,90
2008,39039,96
2008,39041,262
2008,39043,129
2008,39045,239
2008,39047,48
2008,39049,1251
2008,39051,65
2008,39053,54
2008,39055,189
2008,39057,235
2008,39059,80
2008,39061,1384
2008,39063,175
2008,39065,51
2008,39067,24
2008,39069,37
2008,39071,64
2008,39073,45
2008,39075,68
2008,39077,108
2008,39079,52
2008,39081,116
2008,39083,140
2008,39085,409
2008,39087,103
2008,39089,266
2008,39091,147
2008,39093,426
2008,39095,724
2008,39097,49
2008,39099,374
2008,39101,118
2008,39103,281
2008,39105,37
2008,39107,81
2008,39109,167
2008,39111,22
2008,39113,544
2008,39115,19
2008,39117,73
2008,39119,194
2008,39121,7
2008,39123,71
2008,39125,31
2008,39127,47
2008,39129,110
2008,39131,44
2008,39133,267
2008,39135,83
2008,39137,49
2008,39139,238
2008,39141,169
2008,39143,134
2008,39145,158
2008,39147,102
2008,39149,122
2008,39151,705
2008,39153,793
2008,39155,257
2008,39157,194
